density,number_hardeners,surface_density,alfa
1897.786,104.268,525.643,43.991
1952.857,105.938,386.789,36.557
1964.115,134.559,856.452,38.299
1881.363,126.163,125.913,35.151
1914.493,143.016,716.929,32.322
1941.719,120.843,280.473,36.881
1989.694,97.606,858.256,24.635
1954.395,51.136,182.426,29.703
2079.483,88.940,336.340,24.174
1898.700,81.293,488.422,30.535
2041.009,109.411,345.737,27.379
1935.190,79.653,451.313,23.074
2015.637,95.679,460.721,30.040
1922.447,47.227,1058.859,33.474
1962.071,129.726,278.086,32.736
2038.906,101.860,716.924,24.235
1961.765,145.849,610.236,31.022
1960.344,80.651,894.942,41.592
2059.639,152.475,710.849,32.141
1982.269,72.254,406.607,28.692
2099.693,70.359,484.875,33.911
2057.091,143.640,379.873,32.899
1997.896,127.572,272.633,31.433
1891.853,112.322,144.412,33.068
2042.817,172.571,778.197,44.644
1816.401,138.348,530.591,38.700
1977.586,110.255,111.379,46.029
2035.524,121.644,778.025,34.270
1932.760,103.299,731.003,32.936
1960.657,119.615,86.253,26.957
2033.835,58.243,352.690,39.285
2026.075,102.124,369.399,28.715
1971.175,131.088,752.087,41.650
1995.912,99.611,759.997,37.711
1993.663,142.797,26.054,28.176
1920.051,106.791,260.479,21.951
1913.850,136.906,340.840,37.090
1981.626,91.480,505.951,40.936
1964.920,83.673,153.120,29.797
1963.353,92.622,787.225,34.828
2035.814,144.631,696.065,36.291
2038.638,131.982,172.665,20.635
2039.958,116.071,640.051,28.113
1957.476,117.964,153.761,31.352
1995.385,86.824,421.111,39.169
1999.511,138.055,730.455,34.541
2029.297,74.691,547.517,35.269
1989.516,38.669,80.275,24.058
2011.759,81.062,696.309,28.883
1958.143,126.549,342.025,39.594
1979.306,103.341,639.888,36.422
1900.067,146.887,633.033,34.274
1944.237,149.951,638.507,30.358
1819.809,112.521,786.024,35.989
1855.681,92.537,443.165,39.235
1969.890,57.382,487.828,41.187
2021.146,120.318,397.320,24.862
1848.843,106.035,296.688,31.494
1896.990,99.290,997.841,43.221
1964.801,163.986,714.818,46.620
1945.987,108.600,66.299,35.221
1955.515,99.218,38.645,34.755
1919.334,107.851,162.953,40.735
1928.201,73.281,281.828,21.994
1907.727,101.830,149.105,27.574
1898.477,166.347,383.785,49.566
2033.969,86.191,408.601,39.960
1927.068,82.452,294.815,35.367
1996.117,127.662,963.019,33.841
1899.373,118.902,99.792,34.298
1913.868,107.951,712.932,40.900
1939.350,47.233,862.814,41.362
1993.544,131.533,819.961,28.288
2011.165,115.639,969.003,42.982
1909.649,163.931,1116.166,44.577
2050.373,107.785,37.419,42.769
1959.139,83.885,407.444,34.481
1901.683,85.106,1023.232,39.232
1946.473,151.685,282.038,31.736
1889.513,132.528,450.429,28.506
2003.842,157.819,928.180,45.142
1919.387,123.764,584.632,27.594
1996.818,141.581,92.926,33.176
1949.184,108.804,771.326,21.067
1988.516,118.811,469.979,32.601
1919.056,58.262,177.580,35.536
2011.610,117.355,282.614,32.450
2012.590,87.245,520.599,31.077
2012.504,105.605,545.142,32.127
2116.801,108.869,727.082,31.934
1995.502,80.331,660.248,36.190
1977.562,115.390,581.932,31.982
2008.874,81.928,547.908,29.339
2041.440,91.383,912.034,44.953
2016.192,99.558,995.196,30.892
1991.708,106.179,531.153,47.659
1884.735,160.433,245.594,29.332
1977.662,169.092,793.650,30.254
1912.874,115.655,350.234,25.815
1992.644,114.162,833.695,34.205
1990.041,79.861,312.019,35.453
2077.534,86.227,257.855,44.386
1923.255,139.248,184.457,34.016
1936.790,112.087,409.909,29.895
2051.985,80.563,474.542,33.241
1931.977,100.729,765.460,45.698
1804.840,100.677,479.713,33.999
1961.306,100.398,214.788,34.065
1964.723,104.017,478.510,36.890
2076.471,114.926,712.127,27.785
2056.764,127.151,416.375,27.679
2038.289,83.192,774.578,38.845
1962.946,106.879,396.246,37.537
1969.701,106.340,269.269,31.141
2009.441,124.510,255.296,37.073
1953.874,80.266,42.635,36.251
2063.471,171.536,21.759,25.839
1878.167,92.835,84.155,40.661
1965.987,98.519,135.182,27.900
1931.147,96.750,56.243,24.817
2014.773,102.980,615.168,31.818
1872.865,146.199,799.634,33.557
1914.629,110.979,628.365,32.446
2000.506,143.022,65.106,45.872
1952.088,86.992,209.199,32.662
2050.089,145.982,350.661,32.369
1972.373,110.533,740.143,35.632
2066.800,141.398,641.468,27.980
1890.413,129.183,758.748,38.438
